Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.09     91.52     0.09                             caml_int32_format
  0.08     91.60     0.09 12271152     0.00     0.00  camlPhysical_value_util__physical_value_of_tuple_cursor_148
  0.08     91.69     0.09                             camlDebug__print_typing_debug_99
  0.08     91.77     0.08 15124381     0.00     0.00  camlCs_util_coercion__fun_594
  0.08     91.85     0.08  5840916     0.00     0.00  caml_obj_block
  0.08     91.93     0.08  5556448     0.00     0.00  camlCode_item_tuple__build_default_tuple_to_item_map_code_598
  0.08     92.01     0.08  5556448     0.00     0.00  camlCs_util_coercion__coerce_unary_tuple_cursor_to_xml_492
  0.08     92.09     0.08  4164860     0.00     0.00  camlDm_atomic__method_getAtomicString_2736
  0.08     92.17     0.08  2502426     0.00     0.00  camlFormat__add_queue_213
  0.08     92.25     0.08  2367322     0.00     0.00  camlFormat__format_pp_token_260
  0.08     92.33     0.08        6     0.01     0.01  camlTuple_context_manager__instantiate_tuple_context_manager_243
  0.08     92.41     0.08                             camlCode_tuple__build_tuple_product_code_489
  0.07     92.48     0.08  8190261     0.00     0.00  caml_curry6_4
  0.07     92.56     0.08  6890158     0.00     0.00  camlPhysical_value_util__xml_value_of_physical_value_179
  0.07     92.63     0.08  1435412     0.00     0.00  camlGalax_dm__method_string_value_1202
  0.07     92.70     0.07  6890158     0.00     0.00  camlTuple_context_manager__build_tuple_store_code_245
  0.07     92.77     0.07  4161478     0.00     0.00  camlList__stable_sort_272
  0.07     92.84     0.07  3790643     0.00     0.00  camlNamespace_symbols__symbol_subtag_440
  0.07     92.91     0.07  1373288     0.00     0.00  camlCs_util_coercion__coerce_unary_item_list_to_item_list_480
  0.07     92.98     0.07      202     0.00     0.00  caml_notequal
  0.07     93.05     0.07                             camlDatatypes_util__can_be_promoted_to_741
  0.07     93.12     0.07                             camlEvaluation_expr__counter_check_physical_table_type_358
  0.07     93.19     0.07                             camlEvaluation_expr__recmem_369
  0.07     93.26     0.07                             camlString__iter_89
  0.07     93.33     0.07                             caml_make_array
  0.07     93.40     0.07                             caml_obj_truncate
  0.06     93.47     0.07  9700216     0.00     0.00  caml_curry5_2
  0.06     93.53     0.07  6783542     0.00     0.00  camlPhysical_xml_value__xml_value_of_item_list_97
  0.06     93.60     0.07  5591046     0.00     0.00  camlDm_atomic__fun_5526
  0.06     93.66     0.07  4034036     0.00     0.00  camlArgs__get_array_param2_139
  0.06     93.72     0.06  6783528     0.00     0.00  camlPhysical_value_util__wrap_item_250
  0.06     93.78     0.06  4097320     0.00     0.00  camlCode_map__eval_fun_287
  0.06     93.84     0.06  1398525     0.00     0.00  camlString__concat_93
  0.06     93.90     0.06   667655     0.00     0.00  hash_aux
  0.06     93.96     0.06   413449     0.00     0.00  caml_lex_engine
  0.06     94.02     0.06      191     0.00     0.00  caml_alloc_for_heap
  0.06     94.08     0.06                             camlCode_builtin_fn__raise_non_non_discarded_xml_type_500
  0.06     94.14     0.06                             camlCode_selection_context__code_end
  0.06     94.20     0.06                             camlCs_util_coercion__coerce_unary_tuple_cursor_to_item_cursor_490
  0.06     94.26     0.06                             camlCs_util_coercion__coerce_unit_to_physical_value_450
  0.06     94.32     0.06                             camlPervasives__bool_of_string_152
  0.06     94.38     0.06                             caml_format_float
  0.06     94.44     0.06 10985441     0.00     0.00  camlCs_util_coercion__coerce_many_item_list_to_item_list_528
  0.06     94.50     0.06  9401403     0.00     0.00  caml_curry4_2
  0.06     94.56     0.06  9399026     0.00     0.00  caml_curry4_1
  0.06     94.62     0.06  6890158     0.00     0.00  camlCode_binding__fun_541
  0.06     94.68     0.06  4121904     0.00     0.00  camlCode_treejoin__fun_650
  0.06     94.74     0.06   266668     0.00     0.00  camlPool__get_name_118
  0.05     94.80     0.06 15253062     0.00     0.00  camlDm__fun_2075
  0.05     94.85     0.06 13708598     0.00     0.00  camlPhysical_value_util__tuple_cursor_of_physical_value_186
  0.05     94.91     0.06  5580136     0.00     0.00  camlPhysical_value_util__fun_342
  0.05     94.96     0.06  2707256     0.00     0.00  camlNamespace_names__rqname_int_equal_201
  0.05     95.02     0.06   469507     0.00     0.00  caml_tuplify3
  0.05     95.07     0.05  9552652     0.00     0.00  camlVariable_context_manager__build_variable_retrieve_code_255
  0.05     95.12     0.05  8451739     0.00     0.00  camlCamlinternalOO__fun_814
  0.05     95.17     0.05  6577094     0.00     0.00  camlCode_treejoin__fun_663
  0.05     95.22     0.05  4582302     0.00     0.00  camlStack__pop_70
  0.05     95.27     0.05  4098208     0.00     0.00  camlCs_util_coercion__coerce_unary_item_list_to_tuple_cursor_482
  0.05     95.32     0.05  3030564     0.00     0.00  caml_curry2
  0.05     95.37     0.05  2703220     0.00     0.00  camlCode_fn__get_atomic_content_534
  0.05     95.42     0.05  2352221     0.00     0.00  camlFormat__advance_left_304
